chart_id,logical_series,label,frequency,bde_path,mandatory_terms,optional_terms,exclude_terms,expected_dimension_1,expected_dimension_2,unit,selection_status,selected_series_id,review_comment
d03_fx_compras_ventas_neto_sector,fx_Ventas_No residentes,Ventas No residentes,MONTHLY,Total (derivados + spot) > Moneda Extranjera - Moneda Nacional > Mensual > Montos transados > Sectores / Posiciones netas,total|derivados|spot|sectores,Ventas|No residentes|Ventas No residentes,monto vigente|fondos de pensiones,Ventas,No residentes,MM USD,,,
d03_fx_compras_ventas_neto_sector,fx_Neto_No residentes,Neto No residentes,MONTHLY,Total (derivados + spot) > Moneda Extranjera - Moneda Nacional > Mensual > Montos transados > Sectores / Posiciones netas,total|derivados|spot|sectores,Neto|No residentes|Neto No residentes,monto vigente|fondos de pensiones,Neto,No residentes,MM USD,,,
d03_fx_compras_ventas_neto_sector,fx_Compras_Residentes no bancos,Compras Residentes no bancos,MONTHLY,Total (derivados + spot) > Moneda Extranjera - Moneda Nacional > Mensual > Montos transados > Sectores / Posiciones netas,total|derivados|spot|sectores,Compras|Residentes no bancos|Compras Residentes no bancos,monto vigente|fondos de pensiones,Compras,Residentes no bancos,MM USD,,,
d03_fx_compras_ventas_neto_sector,fx_Ventas_Residentes no bancos,Ventas Residentes no bancos,MONTHLY,Total (derivados + spot) > Moneda Extranjera - Moneda Nacional > Mensual > Montos transados > Sectores / Posiciones netas,total|derivados|spot|sectores,Ventas|Residentes no bancos|Ventas Residentes no bancos,monto vigente|fondos de pensiones,Ventas,Residentes no bancos,MM USD,,,
d03_fx_compras_ventas_neto_sector,fx_Neto_Residentes no bancos,Neto Residentes no bancos,MONTHLY,Total (derivados + spot) > Moneda Extranjera - Moneda Nacional > Mensual > Montos transados > Sectores / Posiciones netas,total|derivados|spot|sectores,Neto|Residentes no bancos|Neto Residentes no bancos,monto vigente|fondos de pensiones,Neto,Residentes no bancos,MM USD,,,
d03_fx_compras_ventas_neto_sector,fx_Compras_Fondos de pensiones,Compras Fondos de pensiones,MONTHLY,Total (derivados + spot) > Moneda Extranjera - Moneda Nacional > Mensual > Montos transados > Sectores / Posiciones netas,total|derivados|spot|sectores,Compras|Fondos de pensiones|Compras Fondos de pensiones,monto vigente|fondos de pensiones,Compras,Fondos de pensiones,MM USD,,,
d03_fx_compras_ventas_neto_sector,fx_Ventas_Fondos de pensiones,Ventas Fondos de pensiones,MONTHLY,Total (derivados + spot) > Moneda Extranjera - Moneda Nacional > Mensual > Montos transados > Sectores / Posiciones netas,total|derivados|spot|sectores,Ventas|Fondos de pensiones|Ventas Fondos de pensiones,monto vigente|fondos de pensiones,Ventas,Fondos de pensiones,MM USD,,,
d03_fx_compras_ventas_neto_sector,fx_Neto_Fondos de pensiones,Neto Fondos de pensiones,MONTHLY,Total (derivados + spot) > Moneda Extranjera - Moneda Nacional > Mensual > Montos transados > Sectores / Posiciones netas,total|derivados|spot|sectores,Neto|Fondos de pensiones|Neto Fondos de pensiones,monto vigente|fondos de pensiones,Neto,Fondos de pensiones,MM USD,,,
d04_spc_clp_vigente_plazo_residual,spc_plazo_Hasta 2 años,SPC vigente Hasta 2 años,MONTHLY,Derivados > Tasa de interés > Swap Promedio Cámara en pesos > Bancos mensual > Montos vigentes > Montos vigentes por contraparte y plazo residual > Total,swap promedio camara|pesos|bancos|monto vigente|plazo residual,Hasta 2 años|SPC vigente Hasta 2 años,monto transado|uf|tasa externa|ois|basis,Hasta 2 años,,MM USD,,,
d04_spc_clp_vigente_plazo_residual,spc_plazo_Mayor a 2 años,SPC vigente Mayor a 2 años,MONTHLY,Derivados > Tasa de interés > Swap Promedio Cámara en pesos > Bancos mensual > Montos vigentes > Montos vigentes por contraparte y plazo residual > Total,swap promedio camara|pesos|bancos|monto vigente|plazo residual,Mayor a 2 años|SPC vigente Mayor a 2 años,monto transado|uf|tasa externa|ois|basis,Mayor a 2 años,,MM USD,,,
d04_spc_clp_neto_contraparte,spc_neto_Interbancario,SPC neto Interbancario,MONTHLY,Derivados > Tasa de interés > Swap Promedio Cámara en pesos > Bancos mensual > Montos vigentes > Montos vigentes netos > Montos vigentes netos por contraparte,swap promedio camara|pesos|bancos|monto vigente|neto|contraparte,Interbancario|SPC neto Interbancario,monto transado|uf|tasa externa|ois|basis,Interbancario,,MM USD,,,
d04_spc_clp_neto_contraparte,spc_neto_Residentes no bancos,SPC neto Residentes no bancos,MONTHLY,Derivados > Tasa de interés > Swap Promedio Cámara en pesos > Bancos mensual > Montos vigentes > Montos vigentes netos > Montos vigentes netos por contraparte,swap promedio camara|pesos|bancos|monto vigente|neto|contraparte,Residentes no bancos|SPC neto Residentes no bancos,monto transado|uf|tasa externa|ois|basis,Residentes no bancos,,MM USD,,,
d04_spc_clp_neto_contraparte,spc_neto_No residentes,SPC neto No residentes,MONTHLY,Derivados > Tasa de interés > Swap Promedio Cámara en pesos > Bancos mensual > Montos vigentes > Montos vigentes netos > Montos vigentes netos por contraparte,swap promedio camara|pesos|bancos|monto vigente|neto|contraparte,No residentes|SPC neto No residentes,monto transado|uf|tasa externa|ois|basis,No residentes,,MM USD,,,
d04_spc_clp_transado_plazo_contraparte,spc_transado_Interbancario_<= 1y,SPC transado Interbancario <= 1y,MONTHLY,Derivados > Tasa de interés > Swap Promedio Cámara en pesos > Bancos mensual > Montos transados > Montos transados por contraparte y plazo contractual,swap promedio camara|pesos|bancos|monto transado|plazo contractual|contraparte,<= 1y|Interbancario|SPC transado Interbancario <= 1y,monto vigente|uf|tasa externa|ois|basis,<= 1y,Interbancario,MM USD,,,
d04_spc_clp_transado_plazo_contraparte,spc_transado_Interbancario_1-2y,SPC transado Interbancario 1-2y,MONTHLY,Derivados > Tasa de interés > Swap Promedio Cámara en pesos > Bancos mensual > Montos transados > Montos transados por contraparte y plazo contractual,swap promedio camara|pesos|bancos|monto transado|plazo contractual|contraparte,1-2y|Interbancario|SPC transado Interbancario 1-2y,monto vigente|uf|tasa externa|ois|basis,1-2y,Interbancario,MM USD,,,
d04_spc_clp_transado_plazo_contraparte,spc_transado_Interbancario_2-5y,SPC transado Interbancario 2-5y,MONTHLY,Derivados > Tasa de interés > Swap Promedio Cámara en pesos > Bancos mensual > Montos transados > Montos transados por contraparte y plazo contractual,swap promedio camara|pesos|bancos|monto transado|plazo contractual|contraparte,2-5y|Interbancario|SPC transado Interbancario 2-5y,monto vigente|uf|tasa externa|ois|basis,2-5y,Interbancario,MM USD,,,
d04_spc_clp_transado_plazo_contraparte,spc_transado_Interbancario_> 5y,SPC transado Interbancario > 5y,MONTHLY,Derivados > Tasa de interés > Swap Promedio Cámara en pesos > Bancos mensual > Montos transados > Montos transados por contraparte y plazo contractual,swap promedio camara|pesos|bancos|monto transado|plazo contractual|contraparte,> 5y|Interbancario|SPC transado Interbancario > 5y,monto vigente|uf|tasa externa|ois|basis,> 5y,Interbancario,MM USD,,,
d04_spc_clp_transado_plazo_contraparte,spc_transado_Residentes no bancos_<= 1y,SPC transado Residentes no bancos <= 1y,MONTHLY,Derivados > Tasa de interés > Swap Promedio Cámara en pesos > Bancos mensual > Montos transados > Montos transados por contraparte y plazo contractual,swap promedio camara|pesos|bancos|monto transado|plazo contractual|contraparte,<= 1y|Residentes no bancos|SPC transado Residentes no bancos <= 1y,monto vigente|uf|tasa externa|ois|basis,<= 1y,Residentes no bancos,MM USD,,,
d04_spc_clp_transado_plazo_contraparte,spc_transado_Residentes no bancos_1-2y,SPC transado Residentes no bancos 1-2y,MONTHLY,Derivados > Tasa de interés > Swap Promedio Cámara en pesos > Bancos mensual > Montos transados > Montos transados por contraparte y plazo contractual,swap promedio camara|pesos|bancos|monto transado|plazo contractual|contraparte,1-2y|Residentes no bancos|SPC transado Residentes no bancos 1-2y,monto vigente|uf|tasa externa|ois|basis,1-2y,Residentes no bancos,MM USD,,,
d04_spc_clp_transado_plazo_contraparte,spc_transado_Residentes no bancos_2-5y,SPC transado Residentes no bancos 2-5y,MONTHLY,Derivados > Tasa de interés > Swap Promedio Cámara en pesos > Bancos mensual > Montos transados > Montos transados por contraparte y plazo contractual,swap promedio camara|pesos|bancos|monto transado|plazo contractual|contraparte,2-5y|Residentes no bancos|SPC transado Residentes no bancos 2-5y,monto vigente|uf|tasa externa|ois|basis,2-5y,Residentes no bancos,MM USD,,,
d04_spc_clp_transado_plazo_contraparte,spc_transado_Residentes no bancos_> 5y,SPC transado Residentes no bancos > 5y,MONTHLY,Derivados > Tasa de interés > Swap Promedio Cámara en pesos > Bancos mensual > Montos transados > Montos transados por contraparte y plazo contractual,swap promedio camara|pesos|bancos|monto transado|plazo contractual|contraparte,> 5y|Residentes no bancos|SPC transado Residentes no bancos > 5y,monto vigente|uf|tasa externa|ois|basis,> 5y,Residentes no bancos,MM USD,,,
d04_spc_clp_transado_plazo_contraparte,spc_transado_No residentes_<= 1y,SPC transado No residentes <= 1y,MONTHLY,Derivados > Tasa de interés > Swap Promedio Cámara en pesos > Bancos mensual > Montos transados > Montos transados por contraparte y plazo contractual,swap promedio camara|pesos|bancos|monto transado|plazo contractual|contraparte,<= 1y|No residentes|SPC transado No residentes <= 1y,monto vigente|uf|tasa externa|ois|basis,<= 1y,No residentes,MM USD,,,
d04_spc_clp_transado_plazo_contraparte,spc_transado_No residentes_1-2y,SPC transado No residentes 1-2y,MONTHLY,Derivados > Tasa de interés > Swap Promedio Cámara en pesos > Bancos mensual > Montos transados > Montos transados por contraparte y plazo contractual,swap promedio camara|pesos|bancos|monto transado|plazo contractual|contraparte,1-2y|No residentes|SPC transado No residentes 1-2y,monto vigente|uf|tasa externa|ois|basis,1-2y,No residentes,MM USD,,,
d04_spc_clp_transado_plazo_contraparte,spc_transado_No residentes_2-5y,SPC transado No residentes 2-5y,MONTHLY,Derivados > Tasa de interés > Swap Promedio Cámara en pesos > Bancos mensual > Montos transados > Montos transados por contraparte y plazo contractual,swap promedio camara|pesos|bancos|monto transado|plazo contractual|contraparte,2-5y|No residentes|SPC transado No residentes 2-5y,monto vigente|uf|tasa externa|ois|basis,2-5y,No residentes,MM USD,,,
d04_spc_clp_transado_plazo_contraparte,spc_transado_No residentes_> 5y,SPC transado No residentes > 5y,MONTHLY,Derivados > Tasa de interés > Swap Promedio Cámara en pesos > Bancos mensual > Montos transados > Montos transados por contraparte y plazo contractual,swap promedio camara|pesos|bancos|monto transado|plazo contractual|contraparte,> 5y|No residentes|SPC transado No residentes > 5y,monto vigente|uf|tasa externa|ois|basis,> 5y,No residentes,MM USD,,,
d05_ufclp_vigente_contraparte,ufclp_vigente_Interbancario,UF/CLP vigente Interbancario,MONTHLY,Derivados > Unidad de Fomento - Peso Chileno > Bancos > Bancos mensual > Montos vigentes > Montos vigentes por contraparte,unidad de fomento|peso chileno|bancos|monto vigente|contraparte,Interbancario|UF/CLP vigente Interbancario,monto transado|swap promedio camara|monedas,Interbancario,,MM USD,,,
d05_ufclp_vigente_contraparte,ufclp_vigente_No residentes,UF/CLP vigente No residentes,MONTHLY,Derivados > Unidad de Fomento - Peso Chileno > Bancos > Bancos mensual > Montos vigentes > Montos vigentes por contraparte,unidad de fomento|peso chileno|bancos|monto vigente|contraparte,No residentes|UF/CLP vigente No residentes,monto transado|swap promedio camara|monedas,No residentes,,MM USD,,,
d05_ufclp_vigente_contraparte,ufclp_vigente_Residentes no bancos,UF/CLP vigente Residentes no bancos,MONTHLY,Derivados > Unidad de Fomento - Peso Chileno > Bancos > Bancos mensual > Montos vigentes > Montos vigentes por contraparte,unidad de fomento|peso chileno|bancos|monto vigente|contraparte,Residentes no bancos|UF/CLP vigente Residentes no bancos,monto transado|swap promedio camara|monedas,Residentes no bancos,,MM USD,,,
d05_ufclp_vigente_contraparte,ufclp_vigente_Fondos de pensiones,UF/CLP vigente Fondos de pensiones,MONTHLY,Derivados > Unidad de Fomento - Peso Chileno > Bancos > Bancos mensual > Montos vigentes > Montos vigentes por contraparte,unidad de fomento|peso chileno|bancos|monto vigente|contraparte,Fondos de pensiones|UF/CLP vigente Fondos de pensiones,monto transado|swap promedio camara|monedas,Fondos de pensiones,,MM USD,,,
d05_ufclp_vigente_contraparte,ufclp_vigente_Otros,UF/CLP vigente Otros,MONTHLY,Derivados > Unidad de Fomento - Peso Chileno > Bancos > Bancos mensual > Montos vigentes > Montos vigentes por contraparte,unidad de fomento|peso chileno|bancos|monto vigente|contraparte,Otros|UF/CLP vigente Otros,monto transado|swap promedio camara|monedas,Otros,,MM USD,,,
d05_ufclp_forward_12m_vs_spot,ufclp_forward_12m,Forward 12m UF/CLP,MONTHLY,Derivados > Unidad de Fomento - Peso Chileno > Bancos > Bancos mensual > Montos transados > Precios forward (UF/CLP) / Series UF,precio forward|uf-clp,12 meses|12m|precio forward|Forward 12m|Forward 12m UF/CLP,swap promedio camara|monto vigente,Forward 12m,,UF/CLP,,,
d05_ufclp_forward_12m_vs_spot,uf_spot,UF Spot,MONTHLY,Derivados > Unidad de Fomento - Peso Chileno > Bancos > Bancos mensual > Montos transados > Precios forward (UF/CLP) / Series UF,precio forward|uf-clp,unidad de fomento|uf|valor uf|UF Spot|UF Spot,swap promedio camara|monto vigente,UF Spot,,UF/CLP,,,
d05_ufclp_volumen_precio,ufclp_volumen,Volumen transado UF/CLP,MONTHLY,Derivados > Unidad de Fomento - Peso Chileno > Bancos > Bancos mensual > Montos transados > Montos transados por contraparte / Precios forward (UF/CLP),unidad de fomento|peso chileno|bancos|monto transado,Volumen|Volumen transado UF/CLP,monto vigente|swap promedio camara|monedas,Volumen,,MM USD,,,
d05_ufclp_volumen_precio,ufclp_precio_forward,Precio forward UF/CLP,MONTHLY,Derivados > Unidad de Fomento - Peso Chileno > Bancos > Bancos mensual > Montos transados > Montos transados por contraparte / Precios forward (UF/CLP),unidad de fomento|peso chileno|bancos|monto transado,Precio forward|Precio forward UF/CLP,monto vigente|swap promedio camara|monedas,Precio forward,,UF/CLP,,,
